variety,Sabinene floral,β-Pinene floral,β-Myrcene floral,4-hexen-1-ol acetate floral,2-hexen-1-ol acetate floral,Eucalyptol floral,β-Ocimene floral,ɣ-Terpinene floral,cis-Linalool oxide floral,trans-Linalool oxide floral,Terpinolene floral,Linalool floral,"(E)-4,8-Dimethylnona-1,3,7-triene floral",Camphor floral,ɑ-Terpineol floral,Estragole floral,Fenchyl acetate floral,cis-Geraniol floral,trans-Geraniol floral,Citral floral,Bornyl acetate floral,ɑ-Longipinene floral,"Unknown 97, 111, 70, 71 floral",ɑ-Cubebene floral,Eugenol floral,ɑ-Ylangene floral,Methyl cinnamate floral,Longicyclene floral,Methyl eugenol floral,Isolongifolene floral,cis-Bergamotene floral,"Unknown 95, 161, 107, 93 floral",Aromadendrene floral,Longifolene floral,β-Caryophyllene floral,ɑ-Bergamotene floral,β-Copaene floral,ɑ-Guaiene floral,Calarene floral,δ-Muurolene floral,ɑ-Muurolene floral,Humulene floral,(+)-epi-Bicyclosesquiphellandrene floral,ɣ-Muurolene floral,Germacrene D floral,Lavandulyl propionate floral,Valencene floral,"Unknown 81, 105, 119, 161 floral",ɑ-Amorphene floral,Aciphyllene floral,δ-Guaiene floral,ɣ-Cadinene floral,δ-Cadinene floral,"1,4-Cadinadiene floral",ɑ-Cadinene floral," [S-(Z)]- 3,7,11-trimethyl-1,6,10-Dodecatrien-3-ol floral","(3E,7E)-4,8,12-Trimethyltrideca-1,3,7,11-tetraene floral",β-Elemenone floral,"Unknown 109, 81, 93, 95 floral",Spathulenol floral,Thymyl tiglate floral,Epicubenol floral,Methyl jasmonate floral,"Unknown 161, 204, 105, 162 floral","Unknown 105, 204, 71, 81 floral",2-(1-phenylethyl)-Phenol floral,"Unknown 93, 107, 81, 91 floral","Unknown 95, 97, 81, 110 floral","Unknown 161, 204, 91, 105 floral","Unknown 161, 204, 95, 81 floral",Sabinene,β-Pinene,β-Myrcene,4-hexen-1-ol acetate,2-hexen-1-ol acetate,Eucalyptol,β-Ocimene,ɣ-Terpinene,cis-Linalool oxide,trans-Linalool oxide,Terpinolene,Linalool,"(E)-4,8-Dimethylnona-1,3,7-triene",Camphor,ɑ-Terpineol,Estragole,Fenchyl acetate,cis-Geraniol,trans-Geraniol,Citral,Bornyl acetate,ɑ-Longipinene,"Unknown 97, 111, 70, 71",ɑ-Cubebene,Eugenol,ɑ-Ylangene,Methyl cinnamate,Longicyclene,Methyl eugenol,Isolongifolene,cis-Bergamotene,"Unknown 95, 161, 107, 93",Aromadendrene,Longifolene,β-Caryophyllene,ɑ-Bergamotene,β-Copaene,ɑ-Guaiene,Calarene,δ-Muurolene,ɑ-Muurolene,Humulene,(+)-epi-Bicyclosesquiphellandrene,ɣ-Muurolene,Germacrene D,Lavandulyl propionate,Valencene,"Unknown 81, 105, 119, 161",ɑ-Amorphene,Aciphyllene,δ-Guaiene,ɣ-Cadinene,δ-Cadinene,"1,4-Cadinadiene",ɑ-Cadinene," [S-(Z)]- 3,7,11-trimethyl-1,6,10-Dodecatrien-3-ol","(3E,7E)-4,8,12-Trimethyltrideca-1,3,7,11-tetraene",β-Elemenone,"Unknown 109, 81, 93, 95",Spathulenol,Thymyl tiglate,Epicubenol,Methyl jasmonate,"Unknown 161, 204, 105, 162","Unknown 105, 204, 71, 81",2-(1-phenylethyl)-Phenol,"Unknown 93, 107, 81, 91","Unknown 95, 97, 81, 110","Unknown 161, 204, 91, 105","Unknown 161, 204, 95, 81"
Aroma 2,25.96568543,66.40766276666668,601.3866543,0,0,1491.6999409,2009.020988,95.22336820000001,0,0,0,32396.452166666666,0,361.58084773999997,192.31775074,0,0,0,10.175533179999999,0,0,356.71036635666667,156.39590058333334,387.83062263333335,1869.6424307333332,38.98298122333333,18.047968473333334,109.38281018333333,7794.065192666667,0,0,0,0,0,3141.9025990333334,226.44985953333332,1134.3844715,2553.3532046333335,0,3725.2877354,0,911.5950472333333,264.93816001,0,976.8341259333333,174.78555583333335,19.37915695666667,63.69038776666667,0,582.139544,2248.5004934,1073.6852353333334,175.40549339,11.062095033333332,18.109181956666667,33.68867419666667,0,0,8.84693944,0,0,898.8384771666666,0,0,40.853711600000004,6.4727179139999995,24.868110429999998,0,26.798044833333332,22.711995071,0,0,0,0,0,305.5983095,0,0,0,0,0,309.2611318,0,0,0,32.6325828,0,0,0,0,0,0,701.4761996,0,0,75.81872523,0,856.6014817,0,1699.254793,0,508.9709636,503.99756,2963.822245,0,0,0,201.0348868,0,0,0,0,0,0,0,1126.781983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,929.4470802,0,0,0,351.9419981,1358.065434,0,0,0,0
Cinnamon,10.787673723333334,24.273673276666663,95.83450823333334,0,0.6040678883333332,421.9739745366667,1333.9289552666667,39.164827593333335,0,88.65371123333334,0,23207.846142333332,39.13771923333333,40.32088763333333,45.59400054666667,4511.075982266667,0,0,0,0,0,237.8822467933333,186.3604703,0,4.417482086666666,0,16048.313425333334,43.114664096666665,2821.811719211667,0,0,0,0,0,1584.75687299,140.59583666666666,704.6730535,863.0016210333333,80.50692836666667,1917.4169383666667,16.74003387333333,338.9502279566667,175.43457689333334,40.24063829666667,718.6993348366667,249.73137620000003,44.62424303333333,105.37238149666666,317.4577523666667,386.52680767,771.34804057,1052.3404049,194.82277454,9.536878363333333,57.35600924666666,197.67541180333333,0,915.3371635000001,0,0,0,1990.5324967266667,0,0,104.70152459666666,4.219307390000001,32.50276126133333,36.0993091,0,15.499218222,0,0,0,0,0,0,3297.520447,0,0,0,0,672.1989391,0,0,0,0,0,0,0,0,0,0,964.8678725,0,0,0,1805.999866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.78029492,0,0,0,0,0,0,0,0,0,0,325.53310964,0,0,0,0,0,0,0,0
Genovese,216.93385557250002,486.452688715,2536.159866275,0,20.30503582,5543.38143525,8135.7841235,58.892973725,0,0,117.005994575,106464.17522,0,1647.03437712,633.4452285375,49.92040015,15.38928753675,0,75.8300776,0,0,254.13847384,68.03790366000001,645.65019076,22379.861906000002,28.4563146775,5.2046400275,126.5571620725,8641.264250859751,11.1303902,289.278786575,82.34263423750001,53.77277635,15.778055464999998,7583.8718063,34977.13839125,639.2103565,3785.695409975,0,6576.1050798,0,1265.1035505,859.7628312500001,15.6319533775,3952.4890235249995,138.30155441,27.428554650000002,83.71138655,219.9534592,4258.56619815,3200.66889365,4119.39267805,362.89501291749997,71.9400813,205.71267710749999,125.90393806,0,835.588755155,136.722920085,0,0,7137.8186695,111.9355074,0,322.45144217,16.256913455,113.137940245,10.182141115,15.50641694,24.67769197,0,0,0,0,0,560.4728586,0,0,0,0,0,1710.844492,0,0,88.48258068,0,0,0,0,0,0,0,149.6610345,0,999.6519376,210.3019284,0,844.1165897,0,1680.703762,0,563.7944511,377.6773191,2828.017915,0,423.7029421,0,0,0,0,0,0,0,0,0,308.5892792,0,0,0,0,0,95.13328217,0,0,0,303.4862343,0,0,0,0,1471.518382,144.6218595,0,0,327.8562005,1616.769876,0,0,0,0
Greek Dwarf,102.328334115,347.09032873,769.728275825,52.50419807,1.03191875975,3481.365638,803.6931108,0,0,75.35665125,37.114167824999996,29755.18893,78.232656725,569.08787705,352.166566175,889.9001990775,24.857550125,0,0,0,84.10461530749998,183.91885157250002,0,264.7470222,6621.3233035,5.0854784725,6.108131115,60.984505848,5368.6600718875,27.927144724999998,0,8.473638627499998,7.401380812499999,46.131978675,1787.7373779875,1674.6921151249999,552.417558825,1509.04465275,237.998679725,2300.63921075,13.46336252,1192.498362875,318.99954687499996,0,960.908378725,20.9467601875,105.21607238749999,144.884956575,137.392426925,510.27913515,1015.3281077900001,1631.1925274999999,193.43189985,34.1779858525,83.617519225,37.371636215,11.239358,29.0301648,31.468569315000003,15.0338034575,0,2427.742877925,13.4988621575,13.33262238,63.68485225,23.990288,32.467110936,4.77659611,0,2.32193824175,0,0,0,0,0,63.47249417,59.85584499,0,0,0,0,567.5322849,0,0,0,0,0,0,0,0,0,0,13.11401563,0,8.005882596,0,0,0,0,0,0,0,0,0,0,248.2128855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.71388495,0,0,0,0,0,0,0,0,0,15.58653131,0,0,0,0,0,0,0,0
Lemon,21.708934333333332,143.3004829,2816.6900030666666,743.5844401100001,34.627717573333335,205.98458356666666,2390.6520719333334,116.78200913333333,0,80.99056266666668,23.34735393333333,26364.649963333333,673.4441132000001,66.924396,1411.1458130733333,0,33.116685546666666,9469.830105333334,3320.2951762000002,13149.555412333333,0,0,7.779392363333333,349.9294103666667,0,200.40836000666667,82.27716707666667,66.39212116,1151.8157484426667,56.54979756666667,188.37195006666667,0,0,0,29338.291817666664,15143.766450333333,3622.9845800666667,0,5.4600468766666665,6443.3588973333335,18.460793386666666,2691.7244939333336,207.68368736666667,320.1981214,3238.4884613333334,374.50015637,0,0,553.2815644333334,4359.648146666666,208.13332870666667,272.97327663333334,1545.1437080333333,5325.8876230000005,0,0,0,256.56427199666666,0,141.34056123666664,22.086115183333334,59.27040479333334,106.47508666666667,0,123.5987099,1.3976806953333334,0,0,39.49261975333334,40.17403754,0,79.41125354,452.9076404,215.3106659,0,109.9486108,428.5907858,0,0,0,0,2125.63589,0,0,184.3163122,49.79959121,6.815869872,198.8884803,0,3105.111038,0,0,25.20718025,257.6066885,0,0,13.61581158,0,48.88108906,0,47.97869267,0,0,0,1367.5716315,1322.2441,192.3083747,0,0,309.1932319,0,130.4423564,8.517089845,0,116.7670235,0,26.80196628,26.28059864,94.01773118,423.9066739,0,0,131.219967,436.1385881,0,0,0,0,0,40.36646895,0,0,0,0,60.47066341,0,0,0,0,0
Lettuce,77.45372904999999,191.578761894,636.12118606,43.62430662,0.2892369408,3058.57843026,339.53043509199995,270.475083298,0.0364143804,481.6132147,0,19133.493635400002,336.25075724,140.31104368,153.604414226,730.2844721676,36.0313348238,0,0,0,68.38913046,186.9285308396,128.880495424,231.02885336399999,1728.44026814,26.312130472,3.5757374509999997,63.191071896,4172.8744167608,9.119769724,38.311881299999996,2.149775926,0,11.37138804,1718.9457725339998,2911.54998268,1106.54282596,1263.97323182,114.05991123999999,2421.90019884,2.577926856,398.82827901999997,220.324695284,12.5767232946,668.81833184,187.053377904,18.034831576,18.49909314,26.00267846,1541.37538074,1022.6638482600001,1420.48222954,238.578706286,42.853736183200006,62.007843878,30.135146914,0.470963201,334.093905378,0.28917042460000003,0,1.9576533228,1130.740994,5.416592868,3.93687989,38.482028312000004,13.018333151799999,21.4816493726,8.67537627,32.348925077000004,23.424853849199998,34.9507243,109.5900897,139.08696805,11.895713525,0,942.032133,1967.6269389499998,0,0,0,12.661921545,1507.9242325,0,48.717572175,71.21168355,327.90693561500007,24.30412616,0,0,0,764.3393819,13.289497860000001,252.55556902,0,1006.3077755,9.21710434,16.733511075,177.1698418,391.54588645,371.5651207,0,103.32992583000001,71.27931845,655.0592169,22.79603388,549.329735,0,112.17361475,87.6484052,157.87468325,0,69.57598345,25.269234975,0,28.767602005,0,0,0,0,46.628221715,8.197962335,135.7685219,0,0,0,0,0,0,18.28487196,0,23.15846286,335.23096311,0,11.12688593,65.63676915,372.7909232,0,0,0,0
Lime,0,0,0,507.25451753333334,0,0,0,0,0,0,0,21.58043864666667,916.7124097999999,0,0,75909.34146333333,0,13.677322229999998,0,0,0,0,0,158.47569785,0,0,14.721965899999999,45.3803784,300.05120783999996,79.05448106666665,17.97637354333333,22.72544232,0,138.6461221,1640.1540172,1662.795293,0,13.202169610000002,9.52448701,440.9099592,0,117.74438691333333,8.051689503333332,0,207.37382613333332,0,0,0,0,294.396732,9.029465596666668,0,86.65110987,712.0517085333333,0,0,0,0,0,69.93274790000001,0,0,0,0,107.98731948666666,202.48034660000002,0,0,0,0,0,0,0,4.152451384,0,10.15253936,0,0,0,0,0,0,29.6115651,0,0,8570.646591,0,0,0,0,0,0,0,6.496367833,0,8.10101233,0,154.0870961,30.296468658000002,307.2337063,0,89.8972886,72.83930148,546.4430223,41.26383668,94.38475699,0,29.05475296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.88389089,11.85533467,0,0,0,0,0,3.714740525,2.031315948,15.89756688,0,41.22739152,153.0389832,0,0,3.786943444,0
Mammolo,27.92951978,76.305373004,263.570024236,5.556146862,0.45461299639999997,1112.63092,1257.70385372,1.4415391272,0,105.92468613999999,7.776285408,15730.675362599999,880.7652843000001,166.05946549,143.21339403399998,0.46109345079999997,27.843118492,0,0,0,51.57977968,73.2545923232,69.13792386,55.234428242,1968.8389510260001,8.229061181999999,1.8598772562,32.4388128204,2001.612781243,0,0,13.5253059128,0,0,877.128861806,9858.6161804,18.414867532,764.997808578,7.018991946,1389.22168322,13.033417973999999,304.64718646,189.33036791,3.291592798,588.326560574,411.80979302,64.35588289399999,34.29483442,5.073024718,1136.84699474,450.576637646,982.03927772,63.535049404,20.6905311698,42.5497914084,28.169044758000002,15.568799662,233.64121209,0,0,0,1010.4036732592001,0,1.0628652014,31.5037910496,6.8480645364,16.520934346,4.192342956,2.892049152,2.227333132,416.7395228,1197.264732,1193.026209,0,25.18178873,14143.11266,4254.179145,0,0,54.86117736,78.11248294,10933.89933,0,0,227.1080372,20.62780853,0,0,0,0,1092.150161,0,820.469989,0,1481.230992,0,7.068921963,0,0,31.81552028,0,0,583.9454779,43.81650359,55.26871181,10295.15375,0,185.6801504,0,270.9827351,0,0,52.56548626,0,12.06648667,0,0,25.11289618,63.0372364,435.2730698,33.74050973,607.273275,0,0,0,0,0,0,0,0,76.33279011,339.07818519,0,55.6561681,44.51387421,98.53777135,0,0,0,0
Dark Purple Opal,106.1079159475,362.41456805,994.343148525,73.240579825,0.28941782250000003,3971.34260425,2875.463909428,15.536259635,0.21414771699999996,90.155199075,5089.4797,25841.34485,39.46897887499999,1902.5365960625,307.452393775,2447.5297637565,1.12684037025,0,2.4958233785,0,44.42338795,467.2144927575,42.267232195000005,289.03475798750003,2485.278406,48.4743536675,12.314785087999999,235.50951745,7677.36856981575,236.8352258,68.353029575,63.018966045,60.2433882725,358.138631375,2361.581437,451.50368855,828.4611541275,1744.9399226750002,124.654515815,2331.9190677750003,31.38057508,1094.941411425,206.62371756,57.970902339999995,1045.8526784,22.9111926625,43.8488235025,91.25055464500001,267.44359145,625.7975831775,1371.2623637474999,791.375577875,332.5756464,63.1260780975,56.9191004925,58.1485496075,0,7.4135848125,10.208671735,0,1.431769236,1123.1282408525,31.6031376575,0,90.8446953875,117.3778449625,33.537293585,0,6.5095076735,5.15496704525,0,0,0,0,0,255.5305949,0,0,0,0,0,0,0,0,0,51.27134431,0,0,0,0,0,0,0,0,0,0,0,70.86811392,0,116.8186033,47.57374695,35.78828914,0,206.4718132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.40918162,0,0,0,0
